Mar-23,150.3
Apr-23,160.1
May-23,158.8
Jun-23,161.6
Jul-23,163.1
Aug-23,170.6
Sep-23,168.3
Oct-23,157.4
Nov-23,152.2
Dec-23,145.4
Jan-24,144.1
Feb-24,149.9
Mar-24,157.3
Apr-24,169.8
May-24,167.6
Jun-24,162.4
Jul-24,166.5
Aug-24,162.1
Sep-24,150.3
Oct-24,151.6
Nov-24,151.4
Dec-24,150.5
Jan-25,156.7
Feb-25,157.7
